q10,q11,q12,q13,q15,q16,q17,q18,q19,q20,q20b,q22,q24,q31,q112b_fi,q116,q122,q122a,q122b,q125,q139,q142,gender,msa,region,allwt,job,census,state,q3a,cmb1
Don't know VOL,Much better,Very bad time,Very bad time,Prices will go down,25, ,Prices will go up, ,15,Rates will remain about the same,Somewhat difficult,Rent,Buy,Very concerned,Significantly lower now,40-44,42,40-44,Married or have an unmarried partner,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$15,000-$24,999", , , ,.103028508415243,Jun-2022 (26724),Division 1,Massachusetts,Massachusetts,General Population
Wrong track,Much worse,Very bad time,Somewhat good time,Prices will go up, ,10,Prices will go up, ,20,Rates will go up,Very difficult,Own your home outright and do not have any debt on it,Buy,Not at all concerned,About the same vs. twelve months ago,60-64,63,60-64,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$100,000-$149,999",Male, , ,.609522356451941,Jun-2022 (26724),Division 1,Massachusetts,Massachusetts,General Population
Wrong track,Somewhat better,Very bad time,Very bad time,Prices will go up, ,12,Prices will go up, ,10,Rates will go up,Somewhat difficult,Rent,Buy, ,Significantly lower now,55-59,56,55-59,Single,Black / African-American,"$15,000-$24,999",Male, , ,1.41825002451747,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Don't know VOL,Stay about the same,Somewhat bad time,Very good time,Prices will remain about the same, , ,Prices will go up, ,5,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,Significantly higher now,40-44,40,40-44,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$200,000+",Male, , ,1.31473550136741,Jun-2022 (26724),Division 1,Massachusetts,Massachusetts,General Population
Right track,Stay about the same,Somewhat bad time,Very good time,Prices will go down,5, ,Prices will remain about the same, , ,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy, ,Significantly higher now,75+,79,75+,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$100,000-$149,999",Male, , ,.416296642358367,Jun-2022 (26724),Division 1,Massachusetts,Massachusetts,General Population
Wrong track,Much worse,Very bad time,Somewhat good time,Prices will go down, , ,Prices will go up, , ,Rates will go up,Somewhat easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Rent,Very concerned,About the same vs. twelve months ago,60-64,62,60-64,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$100,000-$149,999",Female, , ,1.61712675684098,Jun-2022 (26724),Division 1,Massachusetts,Massachusetts,General Population
Wrong track,Stay about the same,Very bad time,Somewhat good time,Prices will go down, , ,Prices will remain about the same, , ,Rates will go up,Somewhat difficult,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not very concerned,Significantly higher now,30-34,32,30-34,Divorced,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Male, , ,.73060773016758,Jun-2022 (26724),Division 1,Massachusetts,Massachusetts,General Population
Wrong track,Somewhat better,Very bad time,Very good time,Prices will go up, , ,Prices will go down, , ,Rates will go up,Very difficult,Own your home outright and do not have any debt on it,Don't know VOL, ,Don't know VOL,65-69,68,65-69,Don't know VOL,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$10,000-$14,999",Male, , ,.706267832520299,Jun-2022 (26724),Division 1,Massachusetts,Massachusetts,General Population
Wrong track,Much better,Very bad time,Very good time,Prices will go up, ,9,Prices will go up, ,8,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy,Not at all concerned,Significantly higher now,35-39,37,35-39,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$200,000+",Male, , ,.44310182362513,Jun-2022 (26724),Division 1,Massachusetts,Massachusetts,General Population
Don't know VOL,Stay about the same,Don't know VOL,Somewhat good time,Prices will remain about the same, , ,Prices will go down,20, ,Rates will go up,Very difficult,Rent,Rent,Not very concerned,About the same vs. twelve months ago,55-59,55,55-59,Single,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$50,000-$74,999",Female, , ,.723134240110734,Jun-2022 (26724),Division 1,Massachusetts,Massachusetts,General Population
Wrong track,Much better,Somewhat bad time,Somewhat good time,Prices will remain about the same, , ,Prices will go up, ,10,Rates will remain about the same,Somewhat difficult,Rent,Buy,Very concerned,Significantly lower now,25-29,26,25-29,Single,Black / African-American,"$15,000-$24,999",Female, , ,3.77255119705282,Jun-2022 (26724),Division 1,Massachusetts,Massachusetts,General Population
Wrong track,Much worse,Very bad time,Very good time,Prices will go down, , ,Prices will go down, , ,Rates will go up,Very easy,Rent,Buy,Not at all concerned,Significantly higher now,30-34,30,30-34,Married or have an unmarried partner,Don't know VOL,"$75,000-$99,999",Male, , ,.346636322770125,Jun-2022 (26724),Division 1,Massachusetts,Massachusetts,General Population
Wrong track,Much worse,Very bad time,Somewhat good time,Prices will go down, , ,Prices will go up, ,10,Rates will go up,Somewhat difficult,Live with someone else and don't pay for housing,Rent,Somewhat concerned,About the same vs. twelve months ago,50-54,50,50-54,Married or have an unmarried partner,Don't know VOL,"$75,000-$99,999",Male, , ,.0169085526663271,Jun-2022 (26724),Division 1,Massachusetts,Massachusetts,General Population
Don't know VOL,Somewhat worse,Somewhat bad time,Very good time,Prices will remain about the same, , ,Prices will go up, ,10,Rates will go up,Somewhat difficult,Own your home outright and do not have any debt on it,Buy,Somewhat concerned,Significantly lower now,65-69,69,65-69,Single,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","Less than $10,000",Male, , ,.624244818813021,Jun-2022 (26724),Division 1,Massachusetts,Massachusetts,General Population
Wrong track,Much worse,Very bad time,Very good time,Prices will go down,20, ,Prices will go down,20, ,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy, ,Significantly lower now,55-59,56,55-59,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$100,000-$149,999",Female, , ,.733727644234163,Jun-2022 (26724),Division 1,Massachusetts,Massachusetts,General Population
Don't know VOL,Somewhat better,Somewhat good time,Very good time,Prices will go down,10, ,Prices will remain about the same, , ,Don't know VOL,Somewhat easy,Own your home outright and do not have any debt on it,Rent, ,Don't know VOL,75+,84,75+,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$200,000+",Male, , ,.268572978768446,Jun-2022 (26724),Division 1,Rhode Island,Rhode Island,General Population
Right track,Much better,Somewhat bad time,Somewhat bad time,Prices will go down,8, ,Prices will go up, , ,Rates will go up,Very difficult,Live with someone else and don't pay for housing,Rent,Not at all concerned,Significantly lower now,45-49,45,45-49,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","Less than $10,000",Male, , ,.115027149364013,Jun-2022 (26724),Division 1,Rhode Island,Rhode Island,General Population
Wrong track,Stay about the same,Very bad time,Very good time,Prices will go up, ,8,Prices will go up, ,10,Rates will go up,Very difficult,Rent,Buy,Not very concerned,About the same vs. twelve months ago,45-49,46,45-49,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$50,000-$74,999",Female, , ,.826616836982374,Jun-2022 (26724),Division 1,Rhode Island,Rhode Island,General Population
Wrong track,Much worse,Very bad time,Very good time,Prices will go down,20, ,Prices will go up, ,15,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not very concerned,About the same vs. twelve months ago,55-59,57,55-59,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$200,000+",Male, , ,.500470870048085,Jun-2022 (26724),Division 1,Rhode Island,Rhode Island,General Population
Wrong track,Much better,Somewhat bad time,Very good time,Prices will go down,15, ,Prices will remain about the same, , ,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy,Not at all concerned,Significantly higher now,55-59,59,55-59,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$200,000+",Male, , ,.218593573752267,Jun-2022 (26724),Division 1,Rhode Island,Rhode Island,General Population
Right track,Don't know VOL,Don't know VOL,Don't know VOL,Prices will remain about the same, , ,Prices will go down, , ,Rates will go down,Don't know VOL,Live with someone else and don't pay for housing,Buy, ,Don't know VOL,75+,76,75+,Don't know VOL,Black / African-American,Don't know VOL,Female, , ,.324687343606614,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Don't know VOL,Much better,Somewhat good time,Very good time,Prices will go down, , ,Prices will go up, ,15,Rates will go up,Don't know VOL,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,Significantly higher now,50-54,52,50-54,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Female, , ,.430017411200925,Jun-2022 (26724),Division 1,New Hampshire,New Hampshire,General Population
Wrong track,Stay about the same,Very bad time,Somewhat good time,Prices will remain about the same, , ,Prices will remain about the same, , ,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,30-34,34,30-34,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$150,000-$199,999",Female, , ,2.32418159520129,Jun-2022 (26724),Division 1,Maine,Maine,General Population
Wrong track,Much better,Very bad time,Very bad time,Prices will remain about the same, , ,Prices will remain about the same, , ,Rates will remain about the same,Somewhat easy,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,70-74,70,70-74,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Male, , ,.219366101497949,Jun-2022 (26724),Division 1,Maine,Maine,General Population
Wrong track,Much better,Very bad time,Very good time,Prices will go up, ,30,Prices will go up, ,15,Rates will go up,Very difficult,Rent,Buy, ,About the same vs. twelve months ago,50-54,50,50-54,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","Less than $10,000",Male, , ,.928745577848828,Jun-2022 (26724),Division 1,Maine,Maine,General Population
Wrong track,Much worse,Somewhat bad time,Somewhat good time,Don't know VOL, , ,Prices will go up, , ,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy, ,Significantly lower now,60-64,60,60-64,Widowed,Don't know VOL,Don't know VOL,Female, , ,.0823625850039201,Jun-2022 (26724),Division 1,Maine,Maine,General Population
Wrong track,Somewhat worse,Somewhat bad time,Very good time,Prices will go up, ,20,Prices will go up, ,20,Rates will go up,Somewhat difficult,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,70-74,70,70-74,Widowed,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$35,000-$49,999",Female, , ,.278765169176803,Jun-2022 (26724),Division 1,Maine,Maine,General Population
